DATOS,PAÍS,ODS,INDICADOR ODS,TIPO DE FUENTE,FUENTE,MÉTODO DE RECOLECCIÓN,OBJETIVO DE LOS DATOS,LEGISLACIÓN RECOLECCIÓN,LEGISLACIÓN CONFIDENCIALIDAD,LEGISLACIÓN RESTRICCIÓN A LA COMERCIALIZACIÓN,VARIABLES,INFORMACIÓN GENERADA,DESAGREGACIÓN GEOGRÁFICA,DISPONIBILIDAD,FORMATO,DISPONIBLE EN,FECHA DE CONSULTA,"PERIODICIDAD DE 
 DIFUSIÓN",ÚLTIMA PUBLICACIÓN,CATEGORIAS USUARIOS,USUARIOS DE LA INFORMACIÓN,OBSERVACIONES,CONSULTADO EN
ESTADÍSTICA OFICIAL DERIVADA DE LOS HECHOS DELICTIVOS QUE ATENTAN CONTRA LA LIBERTAD PERSONAL EN ESPECIAL EL SECUESTRO Y LA EXTORSIÓN,COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,MINISTERIO DE DEFENSA NACIONAL,REGISTRO ADMINISTRATIVO,"Consolidar y unificar en una única base de datos las estadísticas de secuestro y extorsión según hechos ocurridos en el territorio nacional, a partir de los reportes suministrados por las Instituciones representadas en el CONASE (Consejo Nacional de Lucha contra el Secuestro y demás Atentados contra la Libertad Personal), como insumo para la alta dirección para la adopción y diseño de políticas viables enfocadas a la erradicación de la conducta",,,,Delito*Institución que investiga*Autor del delito*Victima*Denuncia*Exigencia*Fuente del delito*Victimario,Delito por autor*Delito por fuente del delito*Investigación por victima*Investigación por victimario*Número de investigaciones judiciales*Número de denuncias*Tipo de Exigencia,Departamental*Municipal,,,,,Mensual,,,Presidencia de la República * Instituto Colombiano de Bienestar Familiar * Ministerio de Defensa Nacional * Policía Nacional * Ejército Nacional * Universidad Sergio Arboleda * Fundación País Libre * Superintendencia de Notariado y Registro * Despacho del Ministro de Defensa Nacional * Despacho del Viceministerio para las Políticas y Asuntos Internacionales * Ciudadanía en General * Dependencias Varias de la Fiscalía General de la Nación * Dirección de Estudios Estratégicos (Grupo de Prospectiva y Grupo de Análisis Estratégico) * Universidades Varias * Personas Naturales o Jurídicas,,
ESTADÍSTICAS DE APOYO PARA MAESTRÍA Y DOCTORADO,COLOMBIA,4 EDUCACIÓN DE CALIDAD,,SECTOR PÚBLICO,OBSERVATORIO COLOMBIANO DE CIENCIA Y TECNOLOGÍA,REGISTRO ADMINISTRATIVO,"Generar estadísticas sobre el total de personas que se benefician con becas, becas créditos y créditos para maestría y doctorado que ofrecen distintas instituciones nacionales y extranjeras a colombianos.",,,,Año*Institución oferente*Sexo del beneficiario*Área de la ciencia*Lugar de estudio (Colombia*internacional)*,Becas por nivel de formación*becas por género del beneficiario*becas por sitio de estudio*becas por área de la ciencia,Nacional,,,,,Anual,,,Internos (otros investigadores de la institución) * Universidades * Insttitutos de investigación * o Colciencias * DNP * investigadores,,
GESTIÓN PREDIAL DE PROYECTOS DE INFRAESTRUCTURA VIAL NO CONCESIONADA,COLOMBIA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,INSTITUTO NACIONAL DE VÍAS,REGISTRO ADMINISTRATIVO,Identificar el número de predios requeridos para cada proyecto,,,,Nombre proyecto*ubicación*nombre propietario*aspectos jurídicos*descripción de las construcciones*especies (cultivos)*áreas*predios adquiridios*predios en expropiación,Predios requeridos*Fichas Revisadas y aprobadas*Avalúos revisados aprobados*Predios ofertados*Mejoras adquiridas*Predios adquiridos*Predios en expropiación*Número de predios en exclusión,Nacional,,,,,Trimestral,,,En la misma entidad: Red nacional de carreteras * Oficina asesora de planeación * Subdirección de estudios e innovación,,
ACCIDENTALIDAD MINERA EN EL PAÍS,COLOMBIA,12 PRODUCCIÓN Y CONSUMO RESPONSABLES,,SECTOR PÚBLICO,AGENCIA NACIONAL DE MINERÍA (ANM),REGISTRO ADMINISTRATIVO,Registrar toda la información relacionada con el comportamiento de la accidentalidad minera en el país,,,,Producción carbón*número de emergencias atendidas*número de personas afectadas ( Ilesos*heridos fatalidades)*mineral extraido donde se presento la emergencia*causa de la emergencia*,número De Emergencias Mineras Atendidas,No aplica,NO,,,,Trimestral,,,Ciudadano * Mineros * Agremiaciones,,
ACTIVIDAD JUDICIAL DE ENTIDADES PÚBLICAS DE ORDEN NACIONAL,COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,AGENCIA NACIONAL DE DEFENSA JURIDICA DEL ESTADO,REGISTRO ADMINISTRATIVO,Contar con información estadística oportuna y de calidad con variables e indicadores en materia de actuación judicial que permita la toma de decisiones estratégicas en materia jurídica y diseño de políticas públicas.,,,,Procesos activos*valor de la pretensión calidad del sujeto procesal. Sentido de los fallos. Procesos nuevos en el Sistema*Causa de la demanda*Calidad del Sujeto procesal*Fecha de Admisión de la demanda*Entidad*sentido de los fallos*Procesos Activos*valor de pretensión*Sector Administrativo*Entidad*Calidad del Sujeto procesal*Fecha de Admisión de la demanda*sentido de los fallos*Fecha de radicación*procesos terminados (suple fecha de terminación)*calificación del riesgo procesal en Nivel de Jurisprudencia*Fortaleza en la Defensa*Fortaleza probatoria*Riesgo procesal*Calificación agregada de Riesgo procesal,Tasa de éxito procesal y Tasa de éxito en primera instancia,Nacional,SI,DOCX,https://www.defensajuridica.gov.co/agencia/dependencias/Documents/18.%20Informe%20sobre%20actividad%20litigiosa%20del%20Estado%20(FINAL%207%20nov).docx,31/08/2016,Mensual Trimestral,2013,,,,
ACTUACIONES DE CONCILIACION EXTRAJUDICIALES,COLOMBIA,"16 PAZ, JUSTICIA E INSTITUCIONES SÓLIDAS",,SECTOR PÚBLICO,PROCURADURÍA GENERAL DE LA NACIÓN,REGISTRO ADMINISTRATIVO,"Medir el número de actuaciones de la Procuraduría General de la Nación en lo relacionado las conciliaciones extrajudiciales en los asuntos administrativos, civiles y de familia.",,,,Audiencias de conciliación realizadas*Audiencias de conciliación realizadas con acuerdo,Porcentaje de evacuación de intervenciones por la realización de audiencias de conciliación extrajudicial con acuerdo,Nacional*Regional,,,,,Anual,,,Procuraduría,,
ÁREA DE DISTRIBUCIÓN GEOGRÁFICA DE LAS ESPECIES,COLOMBIA,15 VIDA DE ECOSISTEMAS TERRESTRES,,SOCIEDAD CIVIL,INSTITUTO DE INVESTIGACIÓN DE RECURSOS BIOLÓGICOS ALEXANDER VON HUMBOLDT,REGISTRO ADMINISTRATIVO,Disponer de estadísticas sobre la idoneidad de un área geográfica determinada para el establecimiento o presencia de una especie particular.,,,,19 variables Bioclimáticas de WordClim*Registro de especie (Nombre de especies*latitud y longitud)*Altitud,número de especies potenciales por grupo taxonómico a nivel nacional*número de especies por unidad político/administrativa o por región natural o área de interés,Nacional*Departamental*Municipal,,,,,Anual,,,Autoridades ambientales * Investigadores.,Pendiente por verificar usuarios,
ÁREA DE DISTRIBUCIÓN GEOGRÁFICA DE LAS ESPECIES EN ESCENARIOS DE CAMBIO CLIMÁTICO,COLOMBIA,15 VIDA DE ECOSISTEMAS TERRESTRES,,SOCIEDAD CIVIL,INSTITUTO DE INVESTIGACIÓN DE RECURSOS BIOLÓGICOS ALEXANDER VON HUMBOLDT,REGISTRO ADMINISTRATIVO,Disponer de estadísticas sobre la idoneidad de un área determinada para el establecimiento o presencia de una especie en escenarios de cambio climático.,,,,19 variables Bioclimáticas de WordClim*actuales y generadas de escenarios de cambio climático. Registros de especie (Nombre de especies*latitud y longitud). Adjunto ficha metodológica,Número de especies potenciales a estar presente o potenciales a desaparecer por grupo taxonómico a nivel nacional*número de especies potenciales a estar presente o potenciales a desaparecer por unidad político/administrativa o por región natural o área de interés.,Nacional*Departamental*Municipal,,,,,Bienal,,,Autoridades ambientales * sector salud * sector agricultura * Investigadores.,Pendiente por verificar usuarios,
"ÁREA, PRODUCCIÓN Y RENDIMIENTO DE CEREALES (EXCEPTO ARROZ), LEGUMINOSAS Y FRIJOL SOYA",COLOMBIA,2 HAMBRE CERO,,SOCIEDAD CIVIL,"FEDERACION NACIONAL DE CULTIVADORES DE CEREAL, LEGUMINOSAS Y FRIJOL SOYA (FENALCE)",REGISTRO ADMINISTRATIVO,Informar la evolución de los cultivos representados de manera semestral para el análisis y toma de decisiones de los diferentes actores.,,,,Área sembrada*producción obtenida y rendimiento esperado,Área sembrada*producción obtenida y rendimiento efectivo*rendimiento promedio nacional*Estacionalidad de Cosechas.,Nacional*Departamental,,,,,Mensual Semestral,,,Productores Industria y Ministerio Agricultura * Universidades,Pendiente por verificar usuarios,
"ÁREA, PRODUCCIÓN Y RENDIMIENTOS DE ALGODÓN, FIBRA Y SEMILLA MOTOSA",COLOMBIA,2 HAMBRE CERO,,SOCIEDAD CIVIL,CONFEDERACIÓN COLOMBIANA DE ALGODÓN (CONALGODÓN),REGISTRO ADMINISTRATIVO,"Conocer el comportamiento de la producción de algodón, para determinar importaciones requeridas en la industria frente a la producción interna.",,,,Área cultivada*producción*rendimiento*región,Indicadores de área de producción y Rendimiento.,Municipal,,,,,Semestral,,,Entidades Gubernamentales como: Ministerio de Agricultura * ondo para el financiamiento del sector agropecuario. FINAGRO * Departamento Nacional de Planeación DNP * Departamento Administrativo Nacional de Estadística DANE * BOLSA MERCANTIL Y UNIVERSIDADES,Pendiente por verificar usuarios,
ÁREAS CRÍTICAS POR EROSIÓN COSTERA Y VARIACIÓN DE LA LÍNEA DE COSTA POR EROSIÓN O ACRECIÓN,COLOMBIA,14 VIDA SUBMARINA,,SOCIEDAD CIVIL,INSTITUTO DE INVESTIGACIONES MARINAS Y COSTERAS (INVEMAR),ENCUESTA POR MUESTREO,"Aportar los elementos necesarios para evaluar, priorizar, mitigar y/o controlar los impactos sociales, económicos, o ambientales de la erosión costera teniendo en cuenta las áreas críticas por erosión costera y de variación de la línea de costa por erosión o acreción",,,,Desplazamiento del litoral en metros*áreas críticas por erosión costera*variación en metros de la línea de costa por erosión o acreción,Valores mensuales de cambios en la línea de costa de Punta Soldado y la bocana*bocana de la bahía de Buenaventura y poblado de La Barra*Municipio de Buenaventura,Departamental*Municipal,,,,,Anual,,,Ministerio de Ambiente yDesarrollo Sostenible- MADS * Corporaciones Autonomas Regionales-CARS S * Sistema de Información Nacional Ambiental-SINA * Academia,Pendiente por verificar usuarios,
ÁREAS EN PROCESO DE RESTAURACION,COLOMBIA,15 VIDA DE ECOSISTEMAS TERRESTRES,,SECTOR PÚBLICO,MINISTERIO DE AMBIENTE Y DESARROLLO SOSTENIBLE (MADS),REGISTRO ADMINISTRATIVO,Consolidar información a partir de los registros de los proyectos de reforestación definidos para la debida conservación y gestión en los ecosistemas forestales,,,,Especie*localización*tipo de arreglo forestal*año de establecimiento*fuente de financiamiento*caracterización biofísica del predio*manejo de la plantación,Restauración Ecológica*Rehabilitación y Recuperación de Áreas Degradadas,Nacional*Regional*Área metropolitana*Departamental*Municipal*comuna/localidad,,,,,No aplica,,,,Pendiente por verificar usuarios,
